2026-02-25 16:29:38,734 [INFO] - Logging configured.
2026-02-25 16:29:38,736 [INFO] - Initializing pipeline components...
2026-02-25 16:29:38,986 [INFO] - No checkpoint file found. Starting a new run.
2026-02-25 16:32:17,554 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:32:39,173 [INFO] - Checkpoint saved successfully to checkpoint.pkl
2026-02-25 16:32:39,173 [INFO] -  Starting Iteration 2 | Train: 300-1300 | Test: 1300-1800 
2026-02-25 16:32:39,233 [INFO] - Running advanced evolution...
2026-02-25 16:32:39,236 [INFO] - Dataset iteration 2 for depth 2 in high volatility regime.
2026-02-25 16:32:39,360 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:32:39,443 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:32:39,527 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:32:39,609 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:32:39,686 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:32:39,753 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:32:39,842 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:32:39,910 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:32:39,986 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:32:40,060 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:32:40,154 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:32:40,227 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:32:40,311 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:32:40,387 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:32:40,470 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:32:40,575 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:32:40,650 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:32:40,730 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:32:40,821 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:32:40,904 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:32:40,981 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:32:41,060 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:32:41,167 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:32:41,363 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:32:41,645 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:32:41,924 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:32:42,193 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:32:42,481 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:32:42,772 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:32:43,042 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:32:43,047 [INFO] - Dataset iteration 2 for depth 3 in high volatility regime.
2026-02-25 16:32:43,553 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
